iter	Logloss
0	0.6411815229
1	0.6027809071
2	0.5615534246
3	0.5256432588
4	0.492622113
5	0.4679998154
6	0.4447205893
7	0.4237616231
8	0.4034491656
9	0.384978486
10	0.3737094392
11	0.360407882
12	0.3489983072
13	0.3405625413
14	0.3285193184
15	0.3190402156
16	0.3109801224
17	0.3054767383
18	0.2985300146
19	0.2931867719
20	0.2879252495
21	0.2824139493
22	0.278084982
23	0.273574217
24	0.2689824216
25	0.2663318213
26	0.264349761
27	0.2617087232
28	0.2591404427
29	0.2563811872
30	0.2536900455
31	0.2521888564
32	0.2501447581
33	0.2482384748
34	0.2469644832
35	0.2454761426
36	0.2438476402
37	0.2420204769
38	0.2411466346
39	0.2398256112
40	0.2386728066
41	0.2373919142
42	0.2360518324
43	0.2354445843
44	0.2341565234
45	0.2332280742
46	0.2326701997
47	0.2319132433
48	0.2309451664
49	0.2302389689
50	0.229064222
51	0.2280271663
52	0.2273999848
53	0.2268075785
54	0.225950641
55	0.225149978
56	0.2245533907
57	0.2241867145
58	0.2234477957
59	0.2227183394
60	0.2221058885
61	0.2214684503
62	0.2209409904
63	0.2204118074
64	0.219984487
65	0.219462174
66	0.2190989244
67	0.218500456
68	0.2180328393
69	0.2178249195
70	0.2175208175
71	0.2171178881
72	0.2167174286
73	0.2162229309
74	0.2157306849
75	0.2154436171
76	0.215007961
77	0.2147101482
78	0.2144147498
79	0.2140894595
80	0.2137846875
81	0.2134830476
82	0.213189974
83	0.2128368633
84	0.2126021781
85	0.212171144
86	0.2119892401
87	0.2116448097
88	0.2113214088
89	0.2111774112
90	0.2108813283
91	0.2105367858
92	0.2103694374
93	0.2101117477
94	0.2096908619
95	0.2094179853
96	0.209184125
97	0.2089521391
98	0.2086240283
99	0.2083853151
100	0.2081909102
101	0.2076749231
102	0.2073687068
103	0.2069396837
104	0.2066200597
105	0.2063251569
106	0.2060475958
107	0.2057988313
108	0.205595743
109	0.2053038105
110	0.2051305881
111	0.2049192158
112	0.204792071
113	0.2045649638
114	0.2043295907
115	0.20413322
116	0.2038202382
117	0.2035134786
118	0.2032607645
119	0.2030899138
120	0.2028944333
121	0.2026108072
122	0.202428813
123	0.2022698068
124	0.2019255619
125	0.2016517279
126	0.2014523741
127	0.2011974455
128	0.2010360393
129	0.2007844168
130	0.200561174
131	0.2003181564
132	0.200038373
133	0.1999010455
134	0.1997146476
135	0.1995656791
136	0.1992953609
137	0.1990447632
138	0.1988616961
139	0.1986440216
140	0.1984949967
141	0.1983009757
142	0.1981203708
143	0.1979528384
144	0.197708025
145	0.1975894185
146	0.1973554106
147	0.1971609726
148	0.1970593671
149	0.1969150287
150	0.1967078434
151	0.1965291491
152	0.1964301201
153	0.1963142502
154	0.1960701305
155	0.1959121463
156	0.1957461288
157	0.195519949
158	0.1952558817
159	0.1951953729
160	0.1949694418
161	0.1947893954
162	0.1946475655
163	0.1944870406
164	0.1944273229
165	0.1942571712
166	0.1940460216
167	0.1938235171
168	0.1936272911
169	0.1934739984
170	0.1933781254
171	0.1932572334
172	0.193171909
173	0.1930970052
174	0.1929857005
175	0.1929130276
176	0.1927422463
177	0.1926132454
178	0.1925132962
179	0.192391928
180	0.1922034939
181	0.1920780782
182	0.191910149
183	0.1917632065
184	0.1916315371
185	0.191603632
186	0.1914639616
187	0.19133745
188	0.1911759734
189	0.1910017197
190	0.190794011
191	0.1906523966
192	0.1905031033
193	0.1903793707
194	0.1900359945
195	0.1898889901
196	0.1897435955
197	0.1896615238
198	0.1895618089
199	0.1894163131
200	0.1893747396
201	0.1892996797
202	0.1891719495
203	0.1890578416
204	0.1888482173
205	0.1887267672
206	0.1885760938
207	0.1885014715
208	0.1882191066
209	0.1881171785
210	0.1880327022
211	0.1878683263
212	0.1877495989
213	0.1875829224
214	0.1874712171
215	0.1873491919
216	0.1871941085
217	0.1870923369
218	0.1869993483
219	0.1868262889
220	0.1867171803
221	0.1866630694
222	0.1865536859
223	0.1864423532
224	0.1863634161
225	0.1861666977
226	0.1860697755
227	0.1859494775
228	0.1858378421
229	0.1856892405
230	0.1854848388
231	0.1854053685
232	0.1852953759
233	0.1851335172
234	0.1850224531
235	0.1849328786
236	0.1848385571
237	0.1847006045
238	0.1846229929
239	0.1845576491
240	0.1844572329
241	0.184374788
242	0.1842742681
243	0.1840743754
244	0.1839062433
245	0.1837980087
246	0.1836894181
247	0.1835094045
248	0.1833917233
249	0.1832818747
250	0.183205825
251	0.1831830248
252	0.1831067845
253	0.1829928995
254	0.1828387176
255	0.1827273631
256	0.1826150649
