iter	Passed	Remaining
0	16	16748
1	28	14448
2	41	13679
3	54	13515
4	66	13328
5	79	13212
6	91	12909
7	100	12454
8	108	11970
9	119	11827
10	130	11690
11	139	11510
12	149	11373
13	157	11098
14	168	11037
15	179	11022
16	188	10928
17	199	10896
18	210	10879
19	220	10802
20	232	10857
21	245	10900
22	258	10984
23	273	11138
24	289	11273
25	302	11319
26	316	11406
27	326	11337
28	337	11296
29	348	11263
30	358	11221
31	368	11143
32	380	11145
33	400	11387
34	415	11445
35	428	11474
36	446	11615
37	466	11800
38	480	11844
39	494	11878
40	509	11914
41	519	11853
42	530	11797
43	540	11744
44	551	11704
45	561	11649
46	571	11578
47	578	11469
48	587	11400
49	595	11320
50	606	11280
51	617	11260
52	629	11248
53	639	11195
54	648	11145
55	659	11113
56	669	11083
57	678	11012
58	688	10978
59	698	10950
60	710	10936
61	728	11016
62	742	11035
63	756	11058
64	770	11076
65	784	11101
66	794	11062
67	806	11049
68	818	11046
69	831	11047
70	843	11035
71	855	11023
72	867	11021
73	879	11005
74	890	10985
75	901	10959
76	911	10931
77	922	10908
78	934	10895
79	944	10860
80	954	10829
81	963	10786
82	972	10749
83	982	10714
84	991	10675
85	1001	10646
86	1010	10602
87	1019	10566
88	1029	10536
89	1038	10500
90	1047	10463
91	1056	10428
92	1066	10399
93	1075	10362
94	1086	10347
95	1095	10314
96	1104	10278
97	1115	10265
98	1124	10230
99	1134	10212
100	1144	10183
101	1155	10169
102	1171	10199
103	1186	10220
104	1197	10206
105	1209	10203
106	1227	10242
107	1238	10231
108	1250	10219
109	1262	10211
110	1272	10193
111	1283	10173
112	1293	10156
113	1304	10137
114	1315	10120
115	1325	10102
116	1336	10083
117	1346	10063
118	1356	10039
119	1364	10009
120	1373	9978
121	1382	9948
122	1391	9921
123	1399	9889
124	1408	9859
125	1418	9837
126	1427	9811
127	1435	9781
128	1445	9758
129	1454	9732
130	1462	9704
131	1471	9677
132	1480	9651
133	1489	9627
134	1498	9600
135	1508	9585
136	1517	9559
137	1526	9535
138	1535	9514
139	1545	9490
140	1554	9467
141	1562	9442
142	1572	9422
143	1581	9398
144	1591	9385
145	1601	9366
146	1610	9345
147	1619	9324
148	1627	9298
149	1637	9276
150	1646	9257
151	1655	9235
152	1664	9216
153	1674	9196
154	1683	9178
155	1692	9155
156	1701	9138
157	1711	9118
158	1719	9097
159	1728	9075
160	1738	9057
161	1746	9033
162	1756	9018
163	1765	9000
164	1774	8978
165	1783	8959
166	1791	8937
167	1801	8922
168	1810	8901
169	1820	8886
170	1829	8870
171	1838	8851
172	1847	8833
173	1856	8812
174	1865	8796
175	1873	8773
176	1883	8757
177	1892	8738
178	1901	8722
179	1910	8705
180	1919	8686
181	1929	8671
182	1938	8652
183	1947	8635
184	1955	8615
185	1964	8596
186	1973	8577
187	1982	8564
188	1991	8546
189	2000	8527
190	2009	8511
191	2018	8492
192	2027	8476
193	2035	8458
194	2044	8440
195	2053	8421
196	2061	8404
197	2070	8386
198	2079	8371
199	2088	8354
200	2097	8336
201	2105	8318
202	2115	8306
203	2124	8288
204	2133	8274
205	2142	8257
206	2152	8245
207	2162	8233
208	2171	8219
209	2180	8203
210	2189	8186
211	2197	8169
212	2206	8153
213	2214	8135
214	2223	8119
215	2233	8106
216	2243	8095
217	2252	8078
218	2260	8062
219	2269	8045
220	2277	8029
221	2287	8015
222	2295	7998
223	2304	7982
224	2312	7966
225	2322	7954
226	2331	7938
227	2339	7922
228	2348	7907
229	2357	7891
230	2366	7878
231	2375	7864
232	2384	7849
233	2393	7834
234	2402	7820
235	2411	7805
236	2419	7790
237	2428	7775
238	2437	7760
239	2446	7746
240	2454	7731
241	2464	7719
242	2473	7704
243	2482	7690
244	2492	7680
245	2503	7671
246	2513	7661
247	2522	7648
248	2530	7632
249	2539	7617
250	2547	7601
251	2556	7587
252	2565	7574
253	2574	7559
254	2582	7545
255	2591	7530
256	2600	7518
257	2608	7502
258	2618	7490
259	2627	7479
260	2638	7469
261	2647	7458
262	2659	7452
263	2669	7441
264	2678	7427
265	2686	7414
266	2696	7401
267	2705	7389
268	2714	7377
269	2723	7362
270	2732	7349
271	2740	7335
272	2748	7320
273	2757	7306
274	2766	7292
275	2774	7278
276	2783	7264
277	2792	7251
278	2799	7235
279	2808	7221
280	2817	7209
281	2826	7196
282	2835	7182
283	2843	7168
284	2852	7155
285	2860	7141
286	2869	7127
287	2878	7117
288	2887	7104
289	2896	7091
290	2904	7077
291	2913	7064
292	2921	7049
293	2929	7035
294	2938	7022
295	2946	7008
296	2955	6995
297	2963	6981
298	2971	6967
299	2980	6954
300	2989	6942
301	2997	6928
302	3006	6915
303	3015	6903
304	3024	6891
305	3032	6877
306	3042	6867
307	3051	6855
308	3059	6842
309	3068	6829
310	3076	6815
311	3084	6801
312	3093	6789
313	3102	6778
314	3111	6766
315	3119	6753
316	3129	6742
317	3137	6729
318	3146	6716
319	3154	6702
320	3163	6690
321	3172	6680
322	3181	6667
323	3190	6656
324	3199	6646
325	3209	6635
326	3219	6625
327	3228	6613
328	3237	6602
329	3246	6590
330	3257	6582
331	3266	6572
332	3275	6560
333	3285	6550
334	3294	6539
335	3303	6528
336	3312	6517
337	3321	6505
338	3330	6493
339	3338	6481
340	3348	6471
341	3360	6466
342	3373	6461
343	3384	6454
344	3395	6445
345	3405	6437
346	3415	6426
347	3424	6416
348	3433	6404
349	3441	6391
350	3450	6380
351	3472	6391
352	3483	6384
353	3505	6396
354	3514	6385
355	3523	6374
356	3532	6362
357	3541	6350
358	3551	6341
359	3560	6330
360	3570	6320
361	3580	6310
362	3588	6296
363	3598	6286
364	3606	6274
365	3616	6264
366	3625	6254
367	3634	6241
368	3642	6228
369	3651	6216
370	3659	6204
371	3668	6193
372	3677	6181
373	3685	6169
374	3695	6159
375	3704	6148
376	3712	6135
377	3721	6123
378	3729	6111
379	3739	6101
380	3748	6089
381	3756	6077
382	3766	6067
383	3775	6056
384	3784	6045
385	3793	6034
386	3802	6022
387	3811	6011
388	3820	6001
389	3830	5990
390	3839	5979
391	3848	5969
392	3856	5956
393	3865	5945
394	3874	5934
395	3882	5922
396	3891	5910
397	3900	5899
398	3910	5889
399	3918	5878
400	3927	5867
401	3936	5855
402	3947	5847
403	3957	5837
404	3966	5827
405	3975	5816
406	3984	5804
407	3992	5793
408	4002	5783
409	4011	5772
410	4020	5761
411	4029	5750
412	4038	5740
413	4048	5729
414	4059	5721
415	4068	5711
416	4080	5704
417	4094	5700
